iter	MAE
505	43740.08875
506	43722.4205
507	43692.86095
508	43676.25604
509	43634.50721
510	43627.8302
511	43616.07919
512	43605.63692
513	43593.64575
514	43575.97549
515	43567.05118
516	43543.3037
517	43530.48246
518	43503.80657
519	43463.87774
520	43449.41808
521	43435.5175
522	43424.16633
523	43412.21153
524	43395.6001
525	43378.62986
526	43368.57942
527	43351.61534
528	43339.91295
529	43327.26014
530	43316.45671
531	43307.40395
532	43295.39595
533	43281.57695
534	43267.0394
535	43255.15227
536	43237.5528
537	43224.9123
538	43192.43252
539	43162.75028
540	43151.36428
541	43128.90604
542	43114.23199
543	43107.29656
544	43096.8215
545	43075.93011
546	43055.49309
547	43038.11543
548	43026.09054
549	43011.03642
550	42992.21743
551	42972.76566
552	42967.3368
553	42952.55098
554	42937.92899
555	42917.09572
556	42903.6753
557	42886.01108
558	42863.05103
559	42850.88139
560	42840.80233
561	42827.44444
562	42814.92703
563	42803.85874
564	42775.57976
565	42758.37745
566	42750.67775
567	42741.47247
568	42733.89792
569	42713.60927
570	42703.04429
571	42693.62249
572	42686.59528
573	42675.72874
574	42656.32879
575	42645.00058
576	42624.87004
577	42616.7961
578	42596.75625
579	42581.64112
580	42574.5583
581	42563.51699
582	42548.45085
583	42541.05613
584	42505.35551
585	42489.34558
586	42466.87841
587	42453.0022
588	42441.8454
589	42424.31978
590	42402.14578
591	42385.94236
592	42367.91023
593	42353.44537
594	42344.73135
595	42337.33545
596	42324.74561
597	42319.41725
598	42293.75134
599	42281.89155
600	42274.06585
601	42259.22035
602	42252.259
603	42241.35473
604	42229.07319
605	42202.75446
606	42192.44923
607	42178.81223
608	42172.10273
609	42159.06082
610	42148.37003
611	42123.94141
612	42100.87212
613	42071.21347
614	42055.26415
615	42039.049
616	42023.19699
617	41991.12427
618	41982.85214
619	41972.97667
620	41949.98275
621	41938.75198
622	41931.01063
623	41923.97776
624	41909.51485
625	41887.50195
626	41878.00105
627	41855.17076
628	41840.79984
629	41836.51637
630	41828.19858
631	41820.33072
632	41808.67797
633	41797.02927
634	41778.31298
635	41766.73589
636	41746.39663
637	41738.80013
638	41723.67728
639	41697.2524
640	41686.83232
641	41678.77804
642	41659.32447
643	41652.51984
644	41642.76095
645	41630.47015
646	41605.30205
647	41592.70854
648	41579.53106
649	41558.20914
650	41535.22205
651	41517.86222
652	41509.28648
653	41497.18259
654	41471.30619
655	41467.65231
656	41451.10748
657	41429.08125
658	41422.66285
659	41412.01004
660	41401.61738
661	41393.15372
662	41376.61459
663	41368.78134
664	41360.90101
665	41347.25104
666	41325.11948
667	41304.95748
668	41283.47526
669	41269.65848
670	41249.52586
671	41239.62412
672	41212.04712
673	41191.61943
674	41176.06308
675	41168.06622
676	41145.81963
677	41123.43667
678	41106.99454
679	41091.37907
680	41077.77063
681	41070.62255
682	41053.15226
683	41026.57526
684	41012.15271
685	41008.15971
686	40996.06013
687	40983.59183
688	40956.64182
689	40933.16213
690	40923.56369
691	40917.47469
692	40906.4925
693	40893.12621
694	40880.67931
695	40859.6819
696	40841.60432
697	40827.44895
698	40806.48022
699	40784.74488
700	40764.47959
701	40748.33065
702	40721.27184
703	40712.43745
704	40703.32629
705	40685.35124
706	40659.15229
707	40643.41571
708	40633.39977
709	40614.32943
710	40605.11369
711	40594.05869
712	40578.01809
713	40568.72817
714	40550.14264
715	40535.18795
716	40519.20709
717	40494.70995
718	40469.75211
719	40461.54405
720	40446.53909
721	40427.50338
722	40409.69219
723	40395.76176
724	40385.96527
725	40377.46954
726	40370.43367
727	40354.53661
728	40338.05453
729	40310.11285
730	40295.08042
731	40281.59039
732	40271.98553
733	40263.87421
734	40246.71615
735	40237.2612
736	40229.08876
737	40211.64755
738	40199.52509
739	40184.05526
740	40179.97984
741	40163.02351
742	40151.27282
743	40144.04838
744	40139.22165
745	40122.80135
746	40108.40689
747	40096.15466
748	40072.08088
749	40059.07366
750	40049.56902
751	40030.37954
752	40023.9882
753	40002.97944
754	39984.81758
755	39971.26226
756	39961.86867
757	39948.0904
758	39935.23109
759	39927.37107
760	39912.20088
761	39902.81263
762	39898.55408
763	39889.28433
764	39874.12965
765	39865.58608
766	39849.98224
767	39844.04929
768	39833.60159
769	39824.34796
770	39812.3447
771	39804.16067
772	39795.42006
773	39786.94512
774	39775.23822
775	39765.08023
776	39752.82216
777	39744.31476
778	39735.51626
779	39726.97262
780	39716.69212
781	39708.11554
782	39698.49567
783	39692.0229
784	39687.96436
785	39680.12151
786	39672.38054
787	39662.59789
788	39647.76639
789	39638.74776
790	39625.8693
791	39618.41808
792	39616.16778
793	39607.20815
794	39597.315
795	39587.9185
796	39572.95958
797	39563.34602
798	39554.70394
799	39547.39711
800	39542.71959
801	39535.67481
802	39529.95152
803	39525.71146
804	39515.55353
805	39509.55313
806	39487.05952
807	39471.56481
808	39464.83304
809	39457.64741
810	39449.42981
811	39439.36218
812	39432.504
813	39421.02934
814	39408.71548
815	39397.54248
816	39377.55487
817	39371.45608
818	39359.43786
819	39351.36423
820	39345.40308
821	39336.41818
822	39327.95903
823	39318.04462
824	39298.66047
825	39291.40589
826	39281.35349
827	39273.74907
828	39259.93247
829	39250.56024
830	39245.62786
831	39239.39255
832	39230.74286
833	39223.77183
834	39218.35226
835	39213.41497
836	39205.25125
837	39199.09981
838	39188.33359
839	39180.0723
840	39167.28899
841	39154.98583
842	39146.30447
843	39141.10329
844	39133.48585
845	39123.65136
846	39113.59364
847	39098.77874
848	39092.11345
849	39088.44513
850	39081.02274
851	39074.68461
852	39068.88706
853	39060.3866
854	39051.61058
855	39041.75629
856	39036.44122
857	39031.64076
858	39022.93337
859	39017.88393
860	39010.96517
861	39002.15379
862	38996.62663
863	38990.85919
864	38981.70961
865	38966.6999
866	38957.17785
867	38952.94292
868	38943.32234
869	38935.7718
870	38925.84394
871	38920.42044
872	38910.49044
873	38900.88012
874	38897.53412
875	38884.52974
876	38880.16294
877	38872.38765
878	38864.21216
879	38856.49835
880	38830.88116
881	38822.96848
882	38818.25803
883	38811.19645
884	38801.18961
885	38797.46438
886	38791.83192
887	38787.84266
888	38780.89499
889	38775.39021
890	38765.94282
891	38761.56601
892	38751.01451
893	38739.61733
894	38731.20231
895	38723.94419
896	38715.69891
897	38706.84749
898	38699.21162
899	38695.35777
900	38687.64789
901	38679.47754
902	38670.08442
903	38663.86205
904	38660.19684
905	38651.27354
906	38648.34325
907	38642.56194
908	38632.78686
909	38627.4153
910	38622.9789
911	38619.06921
912	38617.66381
913	38611.6179
914	38605.17605
915	38599.96042
916	38591.07187
917	38588.85411
918	38582.74009
919	38578.23173
920	38575.35975
921	38569.91726
922	38561.4425
923	38557.21397
924	38552.36753
925	38549.8862
926	38538.86502
927	38534.11596
928	38526.47241
929	38522.12988
930	38517.32779
931	38509.93526
932	38506.97149
933	38503.57436
934	38500.86879
935	38497.00511
936	38494.13282
937	38491.28284
938	38488.33447
939	38486.52613
940	38481.04004
941	38470.57851
942	38462.68621
943	38459.6105
944	38456.3367
945	38451.47731
946	38446.70152
947	38437.33832
948	38427.25105
949	38422.10809
950	38420.71336
951	38415.73603
952	38407.98603
953	38399.06972
954	38394.55285
955	38391.20577
956	38386.7264
957	38383.46335
958	38380.58678
959	38376.94186
960	38373.49512
961	38367.9471
962	38366.02494
963	38361.09544
964	38355.642
965	38351.37889
966	38343.8495
967	38338.46862
968	38330.4119
969	38321.89487
970	38316.55747
971	38310.25744
972	38296.70045
973	38289.88436
974	38285.03031
975	38278.4433
976	38273.92403
977	38264.42461
978	38257.58241
979	38252.97853
980	38249.52511
981	38245.47093
982	38241.2317
983	38237.38728
984	38233.02912
985	38225.21614
986	38219.89488
987	38214.10587
988	38203.24035
989	38200.16365
990	38191.14811
991	38188.00424
992	38184.32034
993	38181.2254
994	38176.41913
995	38171.21652
996	38167.28275
997	38160.8935
998	38155.14802
999	38152.19955
